Ano,Mês,Dia_mês,Dia_semana,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,1,1,dom,0,0,1,1,0,0,0,0,0,0,92
2023,1,2,seg,0,0,1,1,1,0,0,1,0,0,91
2023,1,3,ter,0,0,1,1,1,0,0,2,0,0,90
2023,1,4,qua,0,0,1,1,1,0,0,3,0,0,89
2023,1,5,qui,0,0,1,1,1,0,0,4,0,0,88
2023,1,6,sex,0,0,1,1,1,0,0,5,0,0,87
2023,1,7,sáb,0,0,1,1,1,0,0,6,0,0,86
2023,1,8,dom,0,0,1,1,1,0,0,7,0,0,85
2023,1,9,seg,0,0,1,1,1,0,0,8,0,0,84
2023,1,10,ter,0,0,1,1,1,0,0,9,0,0,83
2023,1,11,qua,0,0,1,1,1,0,0,10,0,0,82
2023,1,12,qui,0,0,1,1,1,0,0,11,0,0,81
2023,1,13,sex,0,0,1,1,1,0,0,12,0,0,80
2023,1,14,sáb,0,0,1,1,1,0,0,13,0,0,79
2023,1,15,dom,0,0,1,1,1,0,0,14,0,0,78
2023,1,16,seg,0,0,1,1,1,0,0,15,0,0,77
2023,1,17,ter,0,0,1,1,1,0,0,16,0,0,76
2023,1,18,qua,0,0,1,1,1,0,0,17,0,0,75
2023,1,19,qui,0,0,1,1,1,0,0,18,0,0,74
2023,1,20,sex,0,0,1,1,1,0,0,19,0,0,73
2023,1,21,sáb,0,0,1,1,1,0,0,20,0,0,72
2023,1,22,dom,0,0,1,1,1,0,0,21,0,0,71
2023,1,23,seg,0,0,1,1,1,0,0,22,0,0,70
2023,1,24,ter,0,0,1,1,1,0,0,23,0,0,69
2023,1,25,qua,0,0,1,1,1,0,0,24,0,0,68
2023,1,26,qui,0,0,1,1,1,0,0,25,0,0,67
2023,1,27,sex,0,0,1,1,1,0,0,26,0,0,66
2023,1,28,sáb,0,0,1,1,1,0,0,27,0,0,65
2023,1,29,dom,0,0,1,1,1,0,0,28,0,0,64
2023,1,30,seg,0,0,1,1,1,0,0,29,0,0,63
2023,1,31,ter,0,0,1,1,1,0,0,30,0,0,62
2023,2,1,qua,0,0,1,1,1,0,0,31,0,0,61
2023,2,2,qui,0,0,1,1,1,0,0,32,0,0,60
2023,2,3,sex,0,0,1,1,1,0,0,33,0,0,59
2023,2,4,sáb,0,0,1,1,1,0,0,34,0,0,58
2023,2,5,dom,0,0,1,1,1,0,0,35,0,0,57
2023,2,6,seg,0,0,1,1,1,0,0,36,0,0,56
2023,2,7,ter,0,0,1,1,1,0,0,37,0,0,55
2023,2,8,qua,0,0,1,1,1,0,0,38,0,0,54
2023,2,9,qui,0,0,1,1,1,0,0,39,0,0,53
2023,2,10,sex,0,0,1,1,1,0,0,40,0,0,52
2023,2,11,sáb,0,0,1,1,1,0,0,41,0,0,51
2023,2,12,dom,0,0,1,1,1,0,0,42,0,0,50
2023,2,13,seg,0,0,1,1,1,0,0,43,0,0,49
2023,2,14,ter,0,0,1,1,1,0,0,44,0,0,48
2023,2,15,qua,0,0,1,1,1,0,0,45,0,0,47
2023,2,16,qui,0,0,1,1,1,0,0,46,0,0,46
2023,2,17,sex,0,0,1,1,1,0,0,47,0,0,45
2023,2,18,sáb,0,0,1,1,1,0,0,48,0,0,44
2023,2,19,dom,0,0,1,1,1,0,0,49,0,0,43
2023,2,20,seg,0,0,1,1,1,0,0,50,0,0,42
2023,2,21,ter,0,0,1,1,1,0,0,51,0,0,41
2023,2,22,qua,0,0,1,1,1,0,0,52,0,0,40
2023,2,23,qui,0,0,1,1,1,0,0,53,0,0,39
2023,2,24,sex,0,0,1,1,1,0,0,54,0,0,38
2023,2,25,sáb,0,0,1,1,1,0,0,55,0,0,37
2023,2,26,dom,0,0,1,1,1,0,0,56,0,0,36
2023,2,27,seg,0,0,1,1,1,0,0,57,0,0,35
2023,2,28,ter,0,0,1,1,1,0,0,58,0,0,34
2023,3,1,qua,0,0,1,1,1,0,0,59,0,0,33
2023,3,2,qui,0,0,1,1,1,0,0,60,0,0,32
2023,3,3,sex,0,0,1,1,1,0,0,61,0,0,31
