Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Total_dia_com_café
1;dom;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;seg;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;ter;3;146;59;0;1;0;1;0;207;124;59;0;0;0;0;0;183;390;10;400
1;qua;4;172;73;0;1;0;1;0;247;120;60;0;0;0;1;0;181;428;18;446
1;qui;5;198;79;1;1;0;2;0;281;167;81;0;0;0;0;0;248;529;14;543
1;sex;6;207;86;0;13;0;1;0;307;167;82;0;7;0;0;0;256;563;19;582
1;sáb;7;141;61;0;12;0;1;0;215;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;215;NaN;215
1;dom;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;seg;9;293;111;0;17;0;0;0;421;268;136;0;8;0;0;0;412;833;23;856
1;ter;10;340;132;1;19;0;3;0;495;227;115;0;8;0;0;0;350;845;30;875
1;qua;11;344;132;0;20;0;1;0;497;255;135;0;8;0;0;0;398;895;17;912
1;qui;12;344;131;1;21;0;4;0;501;312;154;2;16;0;1;0;485;986;25;1011
1;sex;13;350;128;0;19;0;3;0;500;206;113;0;6;0;1;0;326;826;26;852
1;sáb;14;189;101;0;10;0;1;0;301;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;301;NaN;301
1;dom;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;seg;16;438;183;2;22;0;1;0;646;310;147;0;8;0;0;0;465;1111;31;1142
1;ter;17;463;180;3;19;0;1;0;666;322;153;0;10;0;0;0;485;1151;38;1189
1;qua;18;477;175;2;28;0;1;0;683;299;153;0;9;0;0;0;461;1144;40;1184
1;qui;19;476;176;3;25;0;0;0;680;324;153;0;10;0;0;0;487;1167;39;1206
1;sex;20;444;150;0;24;0;1;0;619;286;143;0;3;0;0;0;432;1051;33;1084
1;sáb;21;220;95;0;12;0;1;0;328;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;328;NaN;328
1;dom;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;seg;23;516;176;1;28;0;0;0;721;375;184;0;8;0;0;0;567;1288;42;1330
1;ter;24;587;211;2;29;0;2;0;831;423;204;0;16;0;0;0;643;1474;48;1522
1;qua;25;545;210;3;30;0;1;0;789;461;218;1;16;0;1;0;697;1486;41;1527
1;qui;26;594;214;3;20;0;0;0;831;436;213;0;16;0;0;0;665;1496;42;1538
1;sex;27;538;194;4;24;0;3;0;763;247;138;0;12;0;0;0;397;1160;40;1200
1;sáb;28;265;102;0;15;0;0;0;382;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;382;NaN;382
1;dom;29;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
1;seg;30;552;194;2;24;0;2;0;774;359;168;0;8;0;0;0;535;1309;33;1342
1;ter;31;614;220;3;26;0;1;0;864;422;193;1;11;0;0;0;627;1491;37;1528
2;qua;1;622;235;2;31;0;1;0;891;429;195;1;9;0;0;0;634;1525;36;1561
2;qui;2;590;222;2;21;0;1;0;836;413;175;0;8;0;0;0;596;1432;39;1471
2;sex;3;548;211;1;24;0;1;0;785;344;177;0;9;0;0;0;530;1315;35;1350
2;sáb;4;257;164;0;12;0;0;0;433;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;433;NaN;433
2;dom;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
2;seg;6;647;234;1;20;0;1;0;903;480;219;0;6;0;0;0;705;1608;38;1646
2;ter;7;730;270;2;28;0;1;0;1031;534;234;2;14;0;0;0;784;1815;49;1864
2;qua;8;681;246;3;20;0;1;0;951;410;201;0;7;0;0;0;618;1569;47;1616
2;qui;9;650;251;3;17;0;0;0;921;427;215;0;13;0;0;0;655;1576;58;1634
2;sex;10;583;238;1;23;0;1;0;846;385;203;0;7;0;0;0;595;1441;52;1493
2;sáb;11;357;169;0;6;0;2;0;534;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;534;NaN;534
2;dom;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
2;seg;13;621;260;2;8;54;1;0;946;498;250;1;3;52;0;0;804;1750;42;1792
2;ter;14;712;307;4;6;52;1;0;1082;475;246;0;6;49;0;0;776;1858;60;1918
2;qua;15;681;269;2;8;51;1;0;1012;405;189;0;4;50;0;0;648;1660;49;1709
2;qui;16;676;261;3;7;52;1;0;1000;361;216;1;3;47;0;0;628;1628;50;1678
2;sex;17;550;196;3;6;49;1;0;805;290;167;0;3;49;0;0;509;1314;39;1353
2;sáb;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
2;dom;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
2;seg;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
2;ter;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
