Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Café_Bolsista;Total_dia_com_café
1;seg;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;ter;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;qua;3;127;63;2;2;0;2;0;196;104;57;1;1;0;0;0;163;359;12;18;389
1;qui;4;190;86;0;25;0;2;0;303;157;87;0;17;0;0;0;261;564;20;21;605
1;sex;5;197;93;1;25;0;2;0;318;145;83;0;14;0;0;0;242;560;23;21;604
1;sáb;6;129;65;0;18;0;1;0;213;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;213;NaN;NaN;213
1;dom;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;8;297;127;4;23;0;2;0;453;263;150;0;13;0;0;0;426;879;46;27;952
1;ter;9;347;148;3;26;0;0;0;524;268;136;1;13;0;0;0;418;942;41;31;1014
1;qua;10;356;161;4;24;0;1;0;546;272;136;1;13;0;0;0;422;968;42;29;1039
1;qui;11;370;162;4;25;0;2;0;563;311;163;2;16;0;0;0;492;1055;66;30;1151
1;sex;12;353;159;4;25;0;1;0;542;204;110;1;8;0;0;0;323;865;51;26;942
1;sáb;13;179;87;0;18;0;0;0;284;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;284;28;15;327
1;dom;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;15;450;193;5;31;0;1;0;680;328;161;2;19;0;0;0;510;1190;63;35;1288
1;ter;16;450;213;6;29;0;2;0;700;322;166;1;12;0;0;0;501;1201;70;47;1318
