Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Café_Bolsista;Total_dia_com_café
1;qua;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;qui;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;sex;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;sáb;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;dom;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;6;260;119;4;14;0;4;0;401;207;107;2;8;0;0;0;324;725;26;23;774
1;ter;7;293;141;3;22;0;5;0;464;279;143;2;16;0;0;0;440;904;39;27;970
1;qua;8;300;140;1;24;0;5;0;470;244;129;1;9;0;1;0;384;854;43;36;933
1;qui;9;344;160;7;29;0;6;0;546;269;154;3;15;0;0;0;441;987;42;36;1065
1;sex;10;323;158;5;22;0;9;0;517;216;122;3;16;0;1;0;358;875;47;27;949
1;sáb;11;202;111;0;12;0;1;0;326;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;326;28;19;373
1;dom;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;13;416;187;7;31;0;8;1;650;372;190;3;20;0;0;0;585;1235;48;47;1330
1;ter;14;458;213;7;29;0;7;0;714;325;164;5;15;0;0;0;509;1223;65;45;1333
1;qua;15;494;233;8;33;0;9;0;777;329;176;7;20;0;0;0;532;1309;64;49;1422
1;qui;16;533;229;8;32;0;10;1;813;279;139;4;13;0;0;0;435;1248;51;48;1347
1;sex;17;457;214;9;29;0;4;0;713;296;177;3;16;0;0;0;492;1205;49;39;1293
1;sáb;18;228;123;3;12;0;2;0;368;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;368;37;38;443
1;dom;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;20;543;246;8;36;0;7;0;840;368;199;3;16;0;0;0;586;1426;61;50;1537
1;ter;21;580;257;8;26;0;5;0;876;413;211;3;18;0;0;0;645;1521;69;61;1651
1;qua;22;571;254;9;25;0;5;0;864;475;204;3;14;0;0;0;696;1560;70;59;1689
1;qui;23;536;231;7;31;0;6;0;811;376;200;3;12;0;0;0;591;1402;68;53;1523
1;sex;24;520;237;8;31;0;9;0;805;299;159;2;10;0;0;0;470;1275;76;52;1403
1;sáb;25;265;139;1;5;0;1;0;411;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;411;35;41;487
1;dom;26;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;27;533;230;5;27;0;7;0;802;433;229;2;17;0;0;0;681;1483;77;57;1617
1;ter;28;612;273;6;31;0;8;0;930;446;241;2;16;0;1;0;706;1636;82;60;1778
1;qua;29;575;229;7;24;0;6;0;841;503;265;6;16;0;0;0;790;1631;81;71;1783
1;qui;30;588;278;10;35;0;9;1;921;474;234;1;15;0;0;0;724;1645;82;83;1810
1;sex;31;407;206;9;23;0;9;0;654;314;170;3;13;0;1;0;501;1155;74;55;1284
2;sáb;1;251;150;2;7;0;2;0;412;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;412;38;41;491
2;dom;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;3;599;270;9;21;0;5;1;905;484;253;2;15;0;0;0;754;1659;88;68;1815
2;ter;4;613;279;8;22;0;5;1;928;528;263;1;10;0;0;0;802;1730;83;72;1885
2;qua;5;617;279;10;19;0;6;1;932;553;303;2;14;0;1;0;873;1805;71;61;1937
2;qui;6;644;294;9;27;0;6;0;980;492;261;3;15;0;0;0;771;1751;92;78;1921
2;sex;7;488;235;6;26;0;8;0;763;352;188;3;10;0;0;0;553;1316;81;60;1457
2;sáb;8;291;157;5;9;0;1;0;463;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;463;41;39;543
2;dom;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;10;659;317;5;30;0;7;1;1019;581;291;3;20;0;0;0;895;1914;92;67;2073
2;ter;11;689;315;9;34;0;4;0;1051;556;271;4;15;0;0;0;846;1897;99;84;2080
2;qua;12;746;304;5;25;0;6;0;1086;482;241;3;10;0;0;0;736;1822;104;74;2000
2;qui;13;712;337;9;32;0;5;1;1096;439;245;2;16;0;1;0;703;1799;106;74;1979
2;sex;14;637;275;9;27;0;6;1;955;419;227;4;1;0;1;0;652;1607;90;81;1778
2;sáb;15;350;164;2;6;0;2;0;524;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;524;50;45;619
2;dom;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;17;784;359;7;11;17;4;0;1182;599;316;4;6;23;1;0;949;2131;113;75;2319
2;ter;18;864;403;14;10;20;5;0;1316;618;311;4;3;24;0;0;960;2276;113;83;2472
2;qua;19;872;376;10;10;18;6;0;1292;649;310;4;3;27;0;0;993;2285;122;100;2507
2;qui;20;813;358;11;18;19;7;0;1226;658;320;4;6;26;0;0;1014;2240;123;109;2472
2;sex;21;821;361;7;13;19;7;0;1228;646;360;4;5;25;1;0;1041;2269;117;80;2466
2;sáb;22;489;247;4;1;0;1;0;742;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;742;72;54;868
2;dom;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;24;1839;571;5;13;79;2;1;2510;857;329;4;3;87;0;0;1280;3790;310;200;4300
2;ter;25;1766;579;9;17;79;5;0;2455;1452;542;2;5;79;0;0;2080;4535;279;202;5016
2;qua;26;1935;596;6;11;76;4;0;2628;1153;450;3;5;80;0;0;1691;4319;293;198;4810
2;qui;27;1748;532;8;12;86;2;0;2388;1213;436;4;3;84;0;0;1740;4128;248;169;4545
2;sex;28;1545;496;8;15;82;7;0;2153;571;255;4;3;73;0;0;906;3059;176;119;3354
2;sáb;29;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;sáb;1;0;0;0;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;0;0
3;dom;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;seg;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;ter;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;qua;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;qui;6;1475;513;6;10;80;6;1;2091;1386;541;2;4;67;0;0;2000;4091;277;184;4552
3;sex;7;1437;517;7;10;88;6;1;2066;975;407;4;4;82;0;0;1472;3538;223;170;3931
3;sáb;8;860;368;0;3;0;1;0;1232;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1232;85;86;1403
3;dom;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;seg;10;2005;669;9;9;82;6;1;2781;1919;708;3;3;73;0;0;2706;5487;365;267;6119
3;ter;11;1850;649;1;12;83;5;1;2601;1561;599;3;2;84;0;0;2249;4850;359;265;5474
3;qua;12;1904;660;10;9;91;7;1;2682;1691;627;4;2;79;0;0;2403;5085;388;264;5737
3;qui;13;1994;668;12;8;91;4;1;2778;1514;543;2;4;83;0;0;2146;4924;0;0;4924
3;sex;14;1383;462;4;4;91;6;0;1950;1411;573;2;2;82;0;0;2070;4020;280;202;4502
3;sáb;15;940;396;4;2;0;1;0;1343;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1343;91;89;1523
3;dom;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;seg;17;1975;614;9;7;83;5;2;2695;1861;633;3;1;71;0;0;2569;5264;345;252;5861
3;ter;18;1939;626;7;11;85;2;1;2671;1672;615;1;3;73;0;0;2364;5035;360;253;5648
3;qua;19;2039;681;6;10;70;4;1;2811;1749;683;2;6;74;0;0;2514;5325;340;252;5917
3;qui;20;2240;749;7;11;90;5;2;3104;1643;610;1;6;70;1;0;2331;5435;521;426;6382
3;sex;21;1867;654;6;11;92;3;0;2633;1447;614;3;4;78;0;0;2146;4779;417;317;5513
3;sáb;22;925;411;2;4;0;1;0;1343;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1343;108;110;1561
3;dom;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;seg;24;2023;656;7;10;100;5;2;2803;1691;656;2;6;73;0;0;2428;5231;317;240;5788
3;ter;25;2306;785;11;13;92;8;2;3217;1989;756;3;8;77;0;0;2833;6050;359;285;6694
3;qua;26;1984;640;5;13;81;4;1;2728;1649;628;4;7;61;0;0;2349;5077;361;274;5712
3;qui;27;2075;679;7;14;90;7;2;2874;1409;609;4;7;71;0;0;2100;4974;337;252;5563
3;sex;28;1827;621;8;14;90;4;2;2566;1207;531;2;7;72;1;0;1820;4386;277;232;4895
3;sáb;29;952;409;5;5;0;2;0;1373;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1373;106;115;1594
3;dom;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
3;seg;31;2139;712;8;18;3;3;0;2883;1876;715;2;8;0;1;0;2602;5485;353;242;6080
4;ter;1;2302;798;9;15;0;11;0;3135;2021;781;1;8;0;0;0;2811;5946;354;262;6562
4;qua;2;1936;646;8;17;0;7;1;2615;1968;762;1;8;0;2;0;2741;5356;369;239;5964
4;qui;3;2129;696;11;15;84;9;0;2944;1676;656;1;7;64;0;0;2404;5348;376;274;5998
4;sex;4;2045;723;15;12;81;4;0;2880;1141;488;1;40;27;0;0;1697;4577;300;208;5085
4;sáb;5;965;433;5;2;0;1;0;1406;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1406;118;113;1637
