Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço
2;seg;27;67;9;1;0;1;0;0;78
2;ter;28;84;16;3;1;1;0;0;105
3;qua;1;87;18;4;1;0;0;0;110
3;qui;2;98;14;2;2;2;0;0;118
3;sex;3;83;13;3;0;2;0;0;101
3;sáb;4;NaN;NaN;NaN;NaN;NaN;0;0;0
3;dom;5;NaN;NaN;NaN;NaN;NaN;0;0;0
3;seg;6;94;16;3;1;0;0;0;114
3;ter;7;109;19;3;2;2;0;0;135
3;qua;8;120;17;4;3;2;0;0;146
3;qui;9;140;13;3;2;1;0;0;159
3;sex;10;69;9;4;2;0;0;0;84
3;sáb;11;NaN;NaN;NaN;NaN;NaN;0;0;0
3;dom;12;NaN;NaN;NaN;NaN;NaN;0;0;0
3;seg;13;343;84;1;0;0;0;0;428
3;ter;14;572;135;4;1;2;0;0;714
3;qua;15;299;54;3;0;0;0;0;356
3;qui;16;271;69;5;0;1;0;0;346
3;sex;17;246;57;4;1;1;0;0;309
3;sáb;18;NaN;NaN;NaN;NaN;NaN;0;0;0
3;dom;19;NaN;NaN;NaN;NaN;NaN;0;0;0
3;seg;20;620;178;3;1;2;0;0;804
3;ter;21;591;154;3;1;2;0;0;751
3;qua;22;626;161;2;1;0;0;0;790
3;qui;23;575;150;5;2;2;0;0;734
3;sex;24;327;76;3;0;1;0;0;407
3;sáb;25;NaN;NaN;NaN;NaN;NaN;0;0;0
3;dom;26;NaN;NaN;NaN;NaN;NaN;0;0;0
3;seg;27;588;161;4;2;1;0;0;756
3;ter;28;624;169;4;44;2;0;0;843
3;qua;29;592;137;4;1;0;0;0;734
3;qui;30;588;140;3;0;2;0;0;733
3;sex;31;414;99;5;0;1;0;0;519
4;sáb;1;NaN;NaN;NaN;NaN;NaN;0;0;0
4;dom;2;NaN;NaN;NaN;NaN;NaN;0;0;0
4;seg;3;85;11;5;0;1;0;0;102
4;ter;4;124;13;5;1;2;0;0;145
4;qua;5;114;13;3;1;1;0;0;132
4;qui;6;119;5;3;3;1;0;0;131
4;sex;7;NaN;NaN;NaN;NaN;NaN;0;0;0
4;sáb;8;NaN;NaN;NaN;NaN;NaN;0;0;0
4;dom;9;NaN;NaN;NaN;NaN;NaN;0;0;0
4;seg;10;559;152;4;3;2;0;0;720
4;ter;11;579;140;3;28;1;0;0;751
4;qua;12;617;145;2;2;1;0;0;767
4;qui;13;500;144;5;3;2;0;0;654
4;sex;14;380;87;2;1;1;0;0;471
4;sáb;15;NaN;NaN;NaN;NaN;NaN;0;0;0
4;dom;16;NaN;NaN;NaN;NaN;NaN;0;0;0
4;seg;17;538;168;4;3;3;0;0;716
4;ter;18;586;175;3;34;2;0;0;800
4;qua;19;605;153;3;3;1;0;0;765
4;qui;20;441;135;3;2;1;0;0;582
4;sex;21;NaN;NaN;NaN;NaN;NaN;0;0;0
4;sáb;22;NaN;NaN;NaN;NaN;NaN;0;0;0
4;dom;23;NaN;NaN;NaN;NaN;NaN;0;0;0
4;seg;24;538;160;4;3;2;0;0;707
4;ter;25;580;156;4;3;1;0;0;744
4;qua;26;642;165;2;1;3;0;0;813
4;qui;27;527;131;4;2;2;0;0;666
4;sex;28;404;109;3;0;0;0;0;516
4;sáb;29;NaN;NaN;NaN;NaN;NaN;0;0;0
4;dom;30;NaN;NaN;NaN;NaN;NaN;0;0;0
5;seg;1;NaN;NaN;NaN;NaN;NaN;0;0;0
5;ter;2;566;121;2;1;2;0;0;692
5;qua;3;564;101;3;0;2;0;0;670
5;qui;4;583;132;2;1;0;0;0;718
5;sex;5;449;92;3;1;1;0;0;546
5;sáb;6;NaN;NaN;NaN;NaN;NaN;0;0;0
5;dom;7;NaN;NaN;NaN;NaN;NaN;0;0;0
5;seg;8;578;137;3;2;2;0;0;722
5;ter;9;508;95;4;3;2;0;0;612
5;qua;10;589;120;3;3;2;0;0;717
5;qui;11;433;91;1;1;3;0;0;529
5;sex;12;315;65;1;2;0;0;0;383
5;sáb;13;NaN;NaN;NaN;NaN;NaN;0;0;0
5;dom;14;NaN;NaN;NaN;NaN;NaN;0;0;0
5;seg;15;558;136;3;2;3;0;0;702
5;ter;16;474;115;5;39;3;0;0;636
5;qua;17;535;123;2;2;1;0;0;663
5;qui;18;506;114;2;1;2;0;0;625
5;sex;19;337;77;2;3;2;0;0;421
5;sáb;20;NaN;NaN;NaN;NaN;NaN;0;0;0
5;dom;21;NaN;NaN;NaN;NaN;NaN;0;0;0
5;seg;22;535;160;3;3;3;0;0;704
5;ter;23;559;139;2;46;2;0;0;748
5;qua;24;604;144;0;1;0;0;0;749
5;qui;25;488;116;2;41;1;0;0;648
5;sex;26;377;85;3;1;1;0;0;467
5;sáb;27;NaN;NaN;NaN;NaN;NaN;0;0;0
5;dom;28;NaN;NaN;NaN;NaN;NaN;0;0;0
5;seg;29;461;152;2;4;2;0;0;621
5;ter;30;508;135;2;3;1;0;0;649
5;qua;31;500;111;1;3;1;0;0;616
6;qui;1;523;145;2;1;1;0;0;672
