Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
1;seg;22;34;17;3;1;1;0;0;56;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;56
1;ter;23;37;14;3;44;1;0;0;99;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;99
1;qua;24;41;16;4;46;1;0;0;108;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;108
1;qui;25;42;19;1;44;2;0;0;108;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;108
1;sex;26;26;9;3;1;1;0;0;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;40
1;sáb;27;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
1;dom;28;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
1;seg;29;44;13;4;2;2;0;0;65;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;65
1;ter;30;53;18;3;2;1;0;0;77;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;77
1;qua;31;56;13;3;1;1;0;0;74;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;74
2;qui;1;64;16;2;2;1;0;0;85;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;85
2;sex;2;55;11;2;2;1;0;0;71;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;71
2;sáb;3;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;dom;4;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;seg;5;54;17;3;5;2;0;0;81;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;81
2;ter;6;68;23;4;3;3;0;0;101;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;101
2;qua;7;71;23;3;2;0;0;0;99;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;99
2;qui;8;62;19;5;4;1;0;0;91;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;91
2;sex;9;46;9;1;1;1;0;0;58;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;58
2;sáb;10;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;dom;11;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;seg;12;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;ter;13;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;qua;14;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;qui;15;64;15;4;2;1;0;0;86;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;86
2;sex;16;59;17;2;1;1;0;0;80;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;80
2;sáb;17;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;dom;18;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;seg;19;68;13;4;2;2;0;0;89;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;89
2;ter;20;86;25;7;3;1;0;0;122;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;122
2;qua;21;92;17;5;3;0;0;0;117;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;117
2;qui;22;93;22;6;3;1;0;0;125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;125
2;sex;23;66;15;4;2;0;0;0;87;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;87
2;sáb;24;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;dom;25;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
2;seg;26;251;59;5;2;1;0;0;318;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;318
2;ter;27;561;114;4;4;1;0;0;684;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;684
2;qua;28;282;65;5;2;1;0;0;355;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;355
2;qui;29;195;59;5;1;1;0;0;261;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;261
3;sex;1;160;61;4;2;2;0;0;229;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;229
3;sáb;2;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;dom;3;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;seg;4;583;167;4;4;2;0;0;760;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;760
3;ter;5;573;167;4;3;1;0;0;748;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;748
3;qua;6;543;171;5;2;3;0;0;724;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;724
3;qui;7;564;167;4;4;1;0;0;740;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;740
3;sex;8;303;102;3;2;1;0;0;411;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;411
3;sáb;9;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;dom;10;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;seg;11;527;164;3;2;3;0;0;699;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;699
