Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço
1;SEG;27;41;21;2;1;0;1;0;66
1;TER;28;58;31;2;54;0;1;0;146
1;QUA;29;55;25;4;55;0;0;0;139
1;QUI;30;66;20;4;54;0;0;0;144
1;Sex;31;44;18;1;3;0;2;0;68
2;SÁB;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;DOM;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;SEG;3;67;19;5;4;0;0;0;95
2;TER;4;79;27;3;5;0;1;0;115
2;QUA;5;76;20;5;5;0;0;0;106
2;QUI;6;80;22;4;4;0;2;0;112
2;SEX;7;57;27;2;4;0;3;0;93
2;SÁB;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;DOM;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;SEG;10;85;20;5;3;0;1;0;114
2;TER;11;72;35;3;2;0;0;0;112
2;QUA;12;90;28;3;1;;1;0;123
2;QUI;13;82;25;4;1;0;0;0;112
2;SEX;14;68;27;7;1;0;3;0;106
2;SÁB;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;DOM;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;SEG;17;85;31;7;3;0;1;0;127
2;TER;18;89;27;7;3;0;2;0;128
2;QUA;19;80;27;6;3;0;2;0;118
2;QUI;20;72;34;6;5;0;2;0;119
2;SEX;21;73;24;7;6;0;1;0;111
2;SÁB;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;DOM;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
2;SEG;24;297;71;6;7;0;0;0;381
2;TER;25;543;108;8;1;0;0;0;660
2;QUA;26;209;56;5;9;0;0;0;279
2;QUI;27;222;70;4;6;0;0;0;302
2;SEX;28;122;47;6;3;0;4;0;182
3;SÁB;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;DOM;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;SEG;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;TER;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;QUA;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;QUI;6;337;87;4;1;0;0;0;429
3;SEX;7;197;52;5;1;0;4;0;259
3;SÁB;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;DOM;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;SEG;10;609;126;7;2;0;0;0;744
3;TER;11;584;152;6;4;0;0;0;746
3;QUA;12;580;146;8;2;0;0;0;736
3;QUI;13;601;152;7;1;0;0;0;761
3;SEX;14;195;66;6;2;0;6;0;275
3;SÁB;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;DOM;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;SEG;17;603;160;9;1;0;0;0;773
3;TER;18;550;157;6;2;0;0;0;715
3;QUA;19;658;157;7;2;0;0;0;824
3;QUI;20;582;153;5;2;0;2;0;744
3;SEX;21;381;81;11;3;0;5;0;481
3;SÁB;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;DOM;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;SEG;24;579;161;6;3;0;0;0;749
3;TER;25;562;146;6;3;0;0;0;717
3;QUA;26;611;149;5;3;0;0;0;768
3;QUI;27;556;153;9;3;0;4;0;725
3;SEX;28;365;85;6;2;0;5;0;463
3;SÁB;29;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;DOM;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
3;SEG;31;581;154;5;0;0;3;0;743
4;TER;1;564;154;6;3;0;2;0;729
4;QUA;2;591;132;3;0;0;1;0;727
4;QUI;3;508;128;6;0;0;2;0;644
4;SEX;4;287;84;5;2;0;2;0;380
4;SÁB;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;DOM;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;SEG;7;566;163;4;0;0;2;0;735
4;TER;8;516;152;4;0;0;1;0;673
4;QUA;9;577;130;7;0;0;2;0;716
4;QUI;10;470;137;8;0;0;3;2;620
4;SEX;11;297;64;5;0;0;1;0;367
4;SÁB;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;DOM;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;SEG;14;65;33;5;0;0;1;0;104
4;TER;15;79;33;7;0;0;3;0;122
4;QUA;16;80;29;4;1;0;2;0;116
4;QUI;17;56;29;1;1;0;1;0;88
4;SEX;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;SÁB;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;DOM;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;SEG;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;TER;22;457;140;3;1;0;0;0;601
4;QUA;23;643;155;3;1;0;0;0;802
4;QUI;24;432;124;3;0;0;0;0;559
4;SEX;25;469;102;4;1;0;3;0;579
4;SÁB;26;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;DOM;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
4;SEG;28;577;136;5;1;0;0;0;719
4;TER;29;488;144;3;2;0;0;0;637
4;QUA;30;536;139;3;1;0;0;0;679
5;QUI;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SEX;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SÁB;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;DOM;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SEG;5;535;159;2;2;0;1;0;699
5;TER;6;523;145;3;1;0;0;0;672
5;QUA;7;549;150;4;4;0;0;0;707
5;QUI;8;492;151;2;49;0;1;0;695
5;SEX;9;352;84;6;3;0;4;0;449
5;SÁB;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;DOM;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SEG;12;515;144;3;3;0;4;0;669
5;TER;13;496;146;5;3;0;0;0;650
5;QUA;14;399;120;6;2;0;0;0;527
5;QUI;15;493;131;4;4;0;0;0;632
5;SEX;16;264;89;5;2;0;3;0;363
5;SÁB;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;DOM;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SEG;19;401;109;3;1;0;1;0;515
5;TER;20;444;115;2;13;0;0;0;574
5;QUA;21;492;135;4;3;0;0;0;634
5;QUI;22;474;113;2;14;0;0;0;603
5;SEX;23;351;78;8;3;0;4;0;444
5;SÁB;24;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;DOM;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
5;SEG;26;505;159;4;10;0;1;0;679
5;TER;27;512;171;2;10;0;2;0;697
5;QUA;28;485;138;3;2;0;1;0;629
5;QUI;29;438;153;4;6;0;0;0;601
5;SEX;30;239;83;6;3;0;1;0;332
5;SÁB;31;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;DOM;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;SEG;2;508;150;7;9;0;2;0;676
6;TER;3;452;150;7;3;0;1;0;613
6;QUA;4;491;161;5;11;0;2;0;670
6;QUI;5;468;148;3;2;0;1;0;622
6;SEX;6;269;82;2;4;0;4;0;361
6;SÁB;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;DOM;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;SEG;9;505;153;6;4;0;2;0;670
6;TER;10;271;100;6;4;0;0;0;381
6;QUA;11;484;137;5;6;0;2;1;635
6;QUI;12;466;130;3;3;0;1;0;603
6;SEX;13;300;75;4;6;0;6;0;391
6;SÁB;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;DOM;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;SEG;16;505;153;7;4;0;2;0;671
6;TER;17;391;124;5;2;0;0;0;522
6;QUA;18;420;150;5;3;0;2;0;580
6;QUI;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;SEX;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;SÁB;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
6;DOM;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
