area,categoria,item_historico,coeficiente,erro_padrao
area1,guarnição,Batata palha,176.23577029912505,43.575507079498514
area1,guarnição,Creme de milho,120.14650516745672,30.8167936586578
area1,guarnição,Nhoque,89.29611052020886,26.840917486701613
area1,guarnição,Repolho,84.14926073807601,39.77241284908461
area1,guarnição,Macarrão,64.38361061336494,21.422415161815923
area1,guarnição,Purês,18.347771056147835,39.05334814094737
area1,guarnição,Batata,16.307742601123966,20.91692815305531
area1,guarnição,Vagem,14.060147318310511,32.10165883011638
area1,guarnição,Abobrinha,7.059286670512295,26.90035944261963
area1,guarnição,Acelga,6.823662434535074,28.81955124788894
area1,guarnição,Legumes,5.561318675725307,20.50315278198412
area1,guarnição,Couve-flor,-1.4000610638038902,26.495501272024647
area1,guarnição,Couve,-1.559355605760141,29.28082102957228
area1,guarnição,Farofa,-1.5750632898650634,17.85655235316285
area1,guarnição,Repolho com cenoura,-6.941218223836246,41.113330869708264
area1,guarnição,Chuchu,-9.789069116892737,23.189155565834564
area1,guarnição,Batata doce,-13.185298375067287,28.635592483531124
area1,guarnição,Brócolis,-14.054734109407818,33.584839352504424
area1,guarnição,Cenoura,-14.232092274288886,29.472343307066005
area1,guarnição,Polenta,-36.786098420640556,18.996619879518654
area1,guarnição,Quiabo,-42.66004299818405,69.85206120549665
area1,guarnição,Mandioca,-46.31911728836002,21.992514109125022
area1,guarnição,Virado,-64.93113536417188,26.784634961468967
area1,guarnição,Cuscuz,-69.23913545412927,39.75822318813823
area1,guarnição,Ervilha parmentier,-77.49807038775498,22.815460986941805
area1,prato_principal_1,Lasanha bolonhesa,278.9586063929384,39.096183762467234
area1,prato_principal_1,Feijoada,210.20689243503531,104.34002111336177
area1,prato_principal_1,Estrogonofe de frango,206.54825501179434,60.18412035743006
area1,prato_principal_1,Estrogonofe de carne,173.443675570787,36.30647903737257
area1,prato_principal_1,Frango empanado,149.70246416430015,29.092253094736527
area1,prato_principal_1,Hamburguer,118.42693960014653,38.08885505065418
area1,prato_principal_1,Isca de frango,81.48047785743567,55.30774339957863
area1,prato_principal_1,Frango assado,74.55815397048727,18.046918800862056
area1,prato_principal_1,Filé de coxa,66.71991288260227,30.66068112624943
area1,prato_principal_1,Carne louca,60.281446869842156,24.33643508572336
area1,prato_principal_1,Quibe,38.856184798807796,35.30362115975977
area1,prato_principal_1,Linguiça,37.880125980069735,20.65317522700798
area1,prato_principal_1,Cubos de pernil,26.690192597335486,30.90087605023359
area1,prato_principal_1,Lagarto,20.13419917788499,26.688873477477653
area1,prato_principal_1,Filé de frango,19.821948591062643,21.268106811143326
area1,prato_principal_1,Carne em cubos,-3.8093887483777724,18.9969458838251
area1,prato_principal_1,Carne moída,-12.545308668808442,20.008894214119206
area1,prato_principal_1,Carne de panela,-27.57733616977115,39.70419818625447
area1,prato_principal_1,Fricassê de frango,-28.71908902499739,47.589019420034404
area1,prato_principal_1,Isca de carne,-37.1959509277151,26.11048784412335
area1,prato_principal_1,Pernil,-43.861403247196556,20.164349764136123
area1,prato_principal_1,Lombo,-59.6635961493805,16.64157662285873
area1,prato_principal_1,Bife,-103.08336073881182,14.534046432136456
area1,prato_principal_1,Bisteca,-118.6997439155508,39.87159654080339
area1,prato_principal_1,Peixe frito,-161.28456957793568,32.609104499232316
area1,prato_principal_1,Filé de peixe,-455.5444202475169,76.50713140434803
area1,prato_principal_2,Lasanha de PVT,213.23346784097677,40.15244417587703
area1,prato_principal_2,Feijoada vegetariana,191.5744469446799,91.84103405936088
area1,prato_principal_2,Rondele,117.82008517832186,41.73321007458444
area1,prato_principal_2,Lasanha de queijo,109.58466572500774,28.418999911312294
area1,prato_principal_2,Xadrez de grão de bico,103.6414512045049,50.81941039261733
area1,prato_principal_2,Hamburguer de grão de bico,89.7772120719645,46.638815149728835
area1,prato_principal_2,Baião de dois,80.54788095598771,37.59480512791566
area1,prato_principal_2,Tomate recheado,66.95139581305838,22.804685281571132
area1,prato_principal_2,Estrogonofe de PVT,65.6837495013025,53.63949958497607
