Ano,Mês,Dia_semana,Dia_mês,refeicao,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_ms,Vento_rajada_maxima_ms,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,1,ter,3,almoco,207.0,Frango empanado,Quibe de brócolis,Creme de milho,Doce de leite,0.0,25.233333333333334,23.266666666666666,72.0,2.066666666666667,7.166666666666667,0,0,1,1,1,0,0,2,0,0,90
2023,1,ter,3,jantar,183.0,Linguiça,Ovo frito,Farofa,Goiabada,0.0,23.099999999999998,22.133333333333336,84.33333333333333,1.1666666666666667,3.6333333333333333,0,0,1,1,1,0,0,2,0,0,90
2023,1,qua,4,almoco,247.0,Bisteca,Hamburguer de lentilha,Couve,Barra de cereais,0.0,22.3,21.066666666666666,84.66666666666667,3.3666666666666667,8.366666666666665,0,0,1,1,1,0,0,3,0,0,89
2023,1,qua,4,jantar,181.0,Lagarto,Goulash,Polenta,Gelatina,3.8000000000000003,21.666666666666668,19.866666666666667,93.66666666666667,2.1666666666666665,9.066666666666668,0,0,1,1,1,0,0,3,0,0,89
2023,1,qui,5,almoco,281.0,Peixe frito,Omelete,Purês,Chocolate,1.5999999999999999,19.566666666666666,18.966666666666665,94.33333333333333,0.16666666666666666,2.9,0,0,1,1,1,0,0,4,0,0,88
2023,1,qui,5,jantar,248.0,Isca de carne,Curry de legumes,Legumes,Mousse de limão,0.0,18.76666666666667,18.03333333333333,90.0,3.6666666666666665,10.133333333333333,0,0,1,1,1,0,0,4,0,0,88
2023,1,sex,6,almoco,307.0,Bife,Cassoulet,Batata,Picolé,0.0,22.133333333333336,20.2,75.33333333333333,2.433333333333333,7.066666666666666,0,0,1,1,1,0,0,5,0,0,87
2023,1,sex,6,jantar,256.0,Frango assado,PVT,Macarrão,Brigadeirão,0.0,18.8,17.566666666666666,82.33333333333333,3.733333333333333,10.833333333333334,0,0,1,1,1,0,0,5,0,0,87
2023,1,sáb,7,almoco,215.0,Carne de panela,Brócolis gratinado,Cenoura,Sagu,0.0,22.566666666666666,21.599999999999998,68.33333333333333,2.3,5.666666666666667,0,0,1,1,1,0,0,6,0,0,86
2023,1,seg,9,almoco,421.0,Bife,Tomate recheado,Torta de legumes,Bombom,1.866666666666667,22.433333333333334,20.166666666666668,84.33333333333333,1.5,5.133333333333333,0,0,1,1,1,0,0,8,0,0,84
2023,1,seg,9,jantar,412.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Barra de cereais,0.6,21.3,20.5,92.66666666666667,0.0,2.2666666666666666,0,0,1,1,1,0,0,8,0,0,84
2023,1,ter,10,almoco,495.0,Lombo,Ovo cozido,Farofa,Arroz doce,0.0,24.099999999999998,22.5,75.33333333333333,3.1,7.666666666666667,0,0,1,1,1,0,0,9,0,0,83
2023,1,ter,10,jantar,350.0,Bife,PVT,Chuchu,Chocolate,0.0,24.233333333333334,23.099999999999998,72.66666666666667,0.8333333333333334,4.366666666666666,0,0,1,1,1,0,0,9,0,0,83
2023,1,qua,11,almoco,497.0,Isca de carne,PVT,Nhoque,Mosaico,0.3333333333333333,21.033333333333335,19.533333333333335,91.33333333333333,1.1666666666666667,5.133333333333333,0,0,1,1,1,0,0,10,0,0,82
2023,1,qua,11,jantar,398.0,Cubos de pernil,Omelete,Mandioca,Cocada,0.39999999999999997,22.0,21.099999999999998,92.0,0.06666666666666667,2.6999999999999997,0,0,1,1,1,0,0,10,0,0,82
