Ano,Mês,Dia_semana,Dia_mês,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,2,seg,27,78.0,Frango empanado,Ovo cozido,Creme de milho,Barra de cereais,0,0,1,1,1,0,0,57,0,0,35
2023,2,ter,28,105.0,Carne em cubos,PVT,Macarrão,Iogurte,0,0,1,1,1,0,0,58,0,0,34
2023,3,qua,1,110.0,Bife,Bife de lentilha,Legumes,Picolé,0,0,1,1,1,0,0,59,0,0,33
2023,3,qui,2,118.0,Lombo,Curry de legumes,Polenta,Brigadeirão,0,0,1,1,1,0,0,60,0,0,32
2023,3,sex,3,101.0,Frango assado,Cassoulet,Purês,Goiabada,0,0,1,1,1,0,0,61,0,0,31
2023,3,sáb,4,0.0,Isca de carne,PVT,Batata doce,Gelatina,0,0,1,1,1,0,0,62,0,0,30
2023,3,seg,6,114.0,Frango empanado,Fricassê de PVT,Legumes,Doce de leite,0,0,1,1,1,0,0,64,0,0,28
2023,3,ter,7,135.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Bananada,0,0,1,1,1,0,0,65,0,0,27
2023,3,qua,8,146.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Mousse de maracujá,0,0,1,1,1,0,0,66,0,0,26
2023,3,qui,9,159.0,Hamburguer,Hamburguer de grão de bico,Macarrão,Bombom,0,0,1,1,1,0,0,67,0,0,25
2023,3,sex,10,84.0,Lombo,Ovo frito,Couve,Sagu,0,0,1,1,1,0,0,68,0,0,24
2023,3,sáb,11,0.0,Lagarto,PVT,Virado,Pudim de coco,0,0,1,1,1,0,0,69,0,0,23
2023,3,seg,13,428.0,Bife,Quibe de brócolis,Repolho,Alfajor,1,0,0,0,1,0,0,0,0,124,21
2023,3,ter,14,714.0,Frango empanado,Bife de grão de bico,Creme de milho,Arroz doce,1,0,0,0,0,0,0,0,1,123,20
2023,3,qua,15,356.0,Carne em cubos,PVT,Batata,Barra de cereais,1,0,0,0,0,0,0,0,2,122,19
2023,3,qui,16,346.0,Pernil,Ovo frito,Virado,Manjar,1,0,0,0,0,0,0,0,3,121,18
2023,3,sex,17,309.0,Filé de peixe,Grãos com queijo,Brócolis,Sorvete,1,0,0,0,0,0,0,0,4,120,17
2023,3,sáb,18,0.0,Bisteca,Lasanha de berinjela,Farofa,Delicia de banana,1,0,0,1,0,0,0,0,5,119,16
2023,3,seg,20,804.0,Linguiça,PVT,Vagem,Iogurte,1,0,0,0,1,0,0,0,7,117,14
2023,3,ter,21,751.0,Carne de panela,Almôndega de feijão,Purês,Gelatina,1,0,0,0,0,0,0,0,8,116,13
2023,3,qua,22,790.0,Frango assado,Ovo frito,Polenta,Barra de cereais,1,0,0,0,0,0,0,0,9,115,12
2023,3,qui,23,734.0,Estrogonofe de carne,Estrogonofe de PVT,Batata palha,Brigadeirão,1,0,0,0,0,0,0,0,10,114,11
2023,3,sex,24,407.0,Filé de frango,Grão de bico,Macarrão,Pudim de maria mole,1,0,0,0,0,0,0,0,11,113,10
2023,3,sáb,25,0.0,Bife,Assado vienense,Ervilha parmentier,Flan de morango,1,0,0,1,0,0,0,0,12,112,9
2023,3,seg,27,756.0,Bife,Ovo cozido,Chuchu,Barra de cereais,1,0,0,0,1,0,0,0,14,110,7
2023,3,ter,28,843.0,Fricassê de frango,Grãos gratinados,Batata,Sorvete,1,0,0,0,0,0,0,0,15,109,6
2023,3,qua,29,734.0,Cubos de pernil,Curry de legumes,Mandioca,Pudim de coco,1,0,0,0,0,0,0,0,16,108,5
2023,3,qui,30,733.0,Carne moída,PVT,Nhoque,Chocolate,1,0,0,0,0,0,0,0,17,107,4
2023,3,sex,31,519.0,Bife,Lasanha de queijo,Couve-flor,Gelatina,1,0,0,0,0,0,0,0,18,106,3
2023,4,sáb,1,0.0,Frango assado,Omelete,Ervilha parmentier,Cocada,1,0,0,1,0,0,0,0,19,105,2
2023,4,seg,3,102.0,Linguiça,Ovo frito,Farofa,Torrone,0,1,0,1,1,1,0,0,21,103,0
2023,4,ter,4,145.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Sagu,0,1,0,1,1,1,1,0,22,102,0
2023,4,qua,5,132.0,Bife,Hamburguer de lentilha,Mandioca,Ovo de páscoa,0,1,0,1,1,1,1,0,23,101,0
2023,4,qui,6,131.0,Peixe frito,Grãos com queijo,Legumes,Chocolate,0,1,0,1,1,1,1,0,24,100,0
2023,4,seg,10,720.0,Fricassê de frango,Estrogonofe de legumes,Batata palha,Bolinho,1,0,0,0,1,0,0,0,28,96,11
2023,4,ter,11,751.0,Lombo,Ovo cozido,Couve,Pudim de pão,1,0,0,0,0,0,0,0,29,95,10
2023,4,qua,12,767.0,Bife,Moussaka,Macarrão,Goiabada,1,0,0,0,0,0,0,0,30,94,9
2023,4,qui,13,654.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Gelatina,1,0,0,0,0,0,0,0,31,93,8
2023,4,sex,14,471.0,Frango empanado,Curry de legumes,Cenoura,Bombom,1,0,0,0,0,0,0,0,32,92,7
2023,4,sáb,15,0.0,Carne louca,Quibe de PVT,Abobrinha,Flan de baunilha,1,0,0,1,0,0,0,0,33,91,6
2023,4,seg,17,716.0,Bife,PVT,Legumes,Chocolate,1,0,0,0,1,0,0,0,35,89,4
2023,4,ter,18,800.0,Hamburguer,Hamburguer de grão de bico,Macarrão,Sorvete,1,0,0,0,0,0,0,0,36,88,3
2023,4,qua,19,765.0,Bife,Quibe de brócolis,Acelga,Manjar,1,0,0,0,0,0,0,0,37,87,2
2023,4,qui,20,582.0,Pernil,Lasanha de berinjela,Farofa,Banana caramelada,1,0,0,1,0,1,0,0,38,86,1
2023,4,seg,24,707.0,Frango empanado,Rondele,Vagem,Iogurte,1,0,0,0,1,0,0,0,42,82,7
2023,4,ter,25,744.0,Bife,Tomate recheado,Quiabo,Canjica,1,0,0,0,0,0,0,0,43,81,6
2023,4,qua,26,813.0,Carne em cubos,Almôndega de PVT,Cenoura,Gelatina,1,0,0,0,0,0,0,0,44,80,5
2023,4,qui,27,666.0,Lombo,Omelete,Couve,Bananada,1,0,0,0,0,0,0,0,45,79,4
2023,4,sex,28,516.0,Frango assado,Cassoulet,Polenta,Rocambole de chocolate,1,0,0,0,0,0,0,0,46,78,3
2023,4,sáb,29,0.0,Estrogonofe de carne,Grão de bico,Batata palha,Canjica,1,0,0,1,0,0,0,0,47,77,2
2023,5,ter,2,692.0,Frango empanado,Ovo frito,Creme de milho,Torrone,1,0,0,0,1,0,1,0,50,74,37
2023,5,qua,3,670.0,Estrogonofe de carne,Estrogonofe de grão de bico,Batata palha,Sorvete,1,0,0,0,0,0,0,0,51,73,36
2023,5,qui,4,718.0,Lombo,Suflê de legumes,Couve,Brigadeirão,1,0,0,0,0,0,0,0,52,72,35
2023,5,sex,5,546.0,Frango assado,Cassoulet,Polenta,Goiabada,1,0,0,0,0,0,0,0,53,71,34
2023,5,sáb,6,0.0,Bisteca,PVT,Chuchu,Pudim de maria mole,1,0,0,1,0,0,0,0,54,70,33
2023,5,seg,8,722.0,Carne moída,PVT,Vagem,Cocada,1,0,0,0,1,0,0,0,56,68,31
2023,5,ter,9,612.0,Bife,Omelete,Cuscuz,Gelatina,1,0,0,0,0,0,0,0,57,67,30
2023,5,qua,10,717.0,Frango assado,Grãos com queijo,Legumes,Manjar,1,0,0,0,0,0,0,0,58,66,29
2023,5,qui,11,529.0,Lagarto,Bife de lentilha,Nhoque,Iogurte,1,0,0,0,0,0,0,0,59,65,28
2023,5,sex,12,383.0,Pernil,Grão de bico,Virado,Bombom,1,0,0,0,0,0,0,0,60,64,27
2023,5,sáb,13,0.0,Bife,Bife de PVT,Ervilha parmentier,Mosaico,1,0,0,1,0,0,0,0,61,63,26
2023,5,seg,15,702.0,Bife,Tomate recheado,Mandioca,Sorvete,1,0,0,0,1,0,0,0,63,61,24
2023,5,ter,16,636.0,Peixe frito,Quibe de brócolis,Batata doce,Gelatina,1,0,0,0,0,0,0,0,64,60,23
2023,5,qua,17,663.0,Lombo,Cassoulet,Farofa,Chocolate,1,0,0,0,0,0,0,0,65,59,22
2023,5,qui,18,625.0,Carne em cubos,PVT,Ervilha parmentier,Pudim de morango,1,0,0,0,0,0,0,0,66,58,21
2023,5,sex,19,421.0,Bife,Omelete,Legumes,Barra de cereais,1,0,0,0,0,0,0,0,67,57,20
2023,5,sáb,20,0.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Bananada,1,0,0,1,0,0,0,0,68,56,19
2023,5,seg,22,704.0,Linguiça,Grão de bico,Virado,Bolinho,1,0,0,0,1,0,0,0,70,54,17
2023,5,ter,23,748.0,Carne moída,Ovo cozido,Batata,Mousse de morango,1,0,0,0,0,0,0,0,71,53,16
2023,5,qua,24,749.0,Pernil,PVT,Couve,Barra de cereais,1,0,0,0,0,0,0,0,72,52,15
2023,5,qui,25,648.0,Bife,Estrogonofe de grão de bico,Repolho,Iogurte,1,0,0,0,0,0,0,0,73,51,14
2023,5,sex,26,467.0,Frango xadrez,Curry de legumes,Cenoura,Gelatina,1,0,0,0,0,0,0,0,74,50,13
2023,5,sáb,27,0.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Goiabada,1,0,0,1,0,0,0,0,75,49,12
2023,5,seg,29,621.0,Frango empanado,Ovo cozido,Creme de milho,Picolé,1,0,0,0,1,0,0,0,77,47,10
2023,5,ter,30,649.0,Hamburguer,Hamburguer de feijão branco,Purês,Flan de baunilha,1,0,0,0,0,0,0,0,78,46,9
2023,5,qua,31,616.0,Carne em cubos,Almôndega de PVT,Polenta,Bolinho,1,0,0,0,0,0,0,0,79,45,8
2023,6,qui,1,672.0,Bisteca,PVT,Farofa,Brigadeirão,1,0,0,0,0,0,0,0,80,44,7
2023,6,sex,2,400.0,Frango assado,Almôndega de ricota,Macarrão,Pé de moça,1,0,0,0,0,0,0,0,81,43,6
2023,6,sáb,3,0.0,Isca de carne,PVT,Batata doce,Mosaico,1,0,0,1,0,0,0,0,82,42,5
2023,6,qua,7,471.0,Frango empanado,Estrogonofe de grão de bico,Legumes,Pudim de pão,1,0,0,1,0,1,0,0,86,38,1
2023,6,seg,12,560.0,Frango empanado,Bife de grão de bico,Creme de milho,Bananada,1,0,0,0,1,0,0,0,91,33,63
2023,6,ter,13,640.0,Carne louca,Curry de legumes,Batata,Arroz doce,1,0,0,0,0,0,0,0,92,32,62
2023,6,qua,14,633.0,Isca de carne,PVT,Macarrão,Barra de cereais,1,0,0,0,0,0,0,0,93,31,61
2023,6,qui,15,557.0,Pernil,Ovo frito,Couve,Manjar,1,0,0,0,0,0,0,0,94,30,60
2023,6,sex,16,372.0,Filé de peixe,Grãos com queijo,Brócolis,Sorvete,1,0,0,0,0,0,0,0,95,29,59
2023,6,sáb,17,0.0,Lombo,Lasanha de berinjela,Farofa,Espumone,1,0,0,1,0,0,0,0,96,28,58
2023,6,seg,19,643.0,Linguiça,PVT,Purês,Iogurte,1,0,0,0,1,0,0,0,98,26,56
2023,6,ter,20,645.0,Carne de panela,Almôndega de feijão,Macarrão,Gelatina,1,0,0,0,0,0,0,0,99,25,55
2023,6,qua,21,692.0,Frango assado,Ovo frito,Polenta,Torrone,1,0,0,0,0,0,0,0,100,24,54
2023,6,qui,22,508.0,Quibe,Quibe de PVT,Vagem,Curau,1,0,0,0,0,0,0,0,101,23,53
2023,6,sex,23,442.0,Filé de frango,Grão de bico,Legumes,Brigadeirão,1,0,0,0,0,0,0,0,102,22,52
2023,6,sáb,24,0.0,Bife,Almôndega de aveia,Cuscuz,Bombom,1,0,0,1,0,0,0,0,103,21,51
2023,6,seg,26,472.0,Hamburguer,Grãos gratinados,Legumes,Chocolate,1,0,0,0,1,0,0,0,105,19,49
2023,6,ter,27,563.0,Hamburguer,Grãos gratinados,Legumes,Chocolate,1,0,0,0,0,0,0,0,106,18,48
2023,6,qua,28,569.0,Filé de frango,Lasanha de queijo,Cenoura,Gelatina,1,0,0,0,0,0,0,0,107,17,47
2023,6,qui,29,459.0,Bife,Ovo cozido,Nhoque,Kit junino,1,0,0,0,0,0,0,0,108,16,46
2023,6,sex,30,372.0,Pernil,Bife de PVT,Farofa,Mousse de limão,1,0,0,0,0,0,0,0,109,15,45
2023,7,sáb,1,0.0,Lagarto,Bife de lentilha,Chuchu,Barra de cereais,1,0,0,1,0,0,0,0,110,14,44
2023,7,seg,3,461.0,Bife,Suflê de legumes,Batata doce,Goiabada,1,0,0,0,1,0,0,0,112,12,42
2023,7,ter,4,369.0,Isca de frango,Grão de bico,Batata palha,Canjica,1,0,0,0,0,0,0,0,113,11,41
2023,7,qua,5,453.0,Feijoada,Feijoada vegetariana,Couve,Gelatina,1,0,0,0,0,0,0,0,114,10,40
2023,7,qui,6,427.0,Carne moída,Ovo frito,Macarrão,Chocolate,1,0,0,0,0,0,0,0,115,9,39
2023,7,sex,7,268.0,Isca de carne,Quibe de brócolis,Legumes,Barra de cereais,1,0,0,0,0,0,0,0,116,8,38
2023,7,sáb,8,0.0,Frango assado,PVT,Repolho,Brigadeirão,1,0,0,1,0,0,0,0,117,7,37
2023,7,seg,10,283.0,Fricassê de frango,Bife de lentilha,Batata palha,Goiabada,1,0,0,0,1,0,0,0,119,5,35
2023,7,ter,11,296.0,Lombo,Ovo cozido,Farofa,Pudim de maria mole,1,0,0,0,0,0,0,0,120,4,34
2023,7,qua,12,372.0,Estrogonofe de carne,Estrogonofe de grão de bico,Batata,Bolinho,1,0,0,0,0,0,0,0,121,3,33
2023,7,qui,13,261.0,Lasanha bolonhesa,Lasanha de PVT,Cenoura,Gelatina,1,0,0,0,0,0,0,0,122,2,32
2023,7,sex,14,176.0,Frango empanado,Curry de legumes,Acelga,Bombom,1,0,0,1,0,0,0,0,123,1,31
2023,7,sáb,15,0.0,Bife,Moussaka,Legumes,Flan de baunilha,0,0,1,1,0,0,0,0,0,0,30
2023,7,seg,17,102.0,Bife,Almôndega de aveia,Mandioca,Torrone,0,0,1,1,1,0,0,2,0,0,28
2023,7,ter,18,93.0,Linguiça,PVT,Ervilha parmentier,Beijinho,0,0,1,1,1,0,0,3,0,0,27
2023,7,qua,19,0.0,Hamburguer,Hamburguer de grão de bico,Purês,Sagu,0,0,1,1,1,0,0,4,0,0,26
2023,7,qui,20,0.0,Frango assado,Cassoulet,Polenta,Banana caramelada,0,0,1,1,1,0,0,5,0,0,25
2023,7,sex,21,0.0,Carne moída,PVT,Macarrão,Goiabada,0,0,1,1,1,0,0,6,0,0,24
2023,7,sáb,22,0.0,Lombo,Omelete,Virado,Iogurte,0,0,1,1,1,0,0,7,0,0,23
2023,7,seg,24,0.0,Frango empanado,Lasanha de berinjela,Cenoura,Bananada,0,0,1,1,1,0,0,9,0,0,21
